brand,model,screen_size,color,harddisk,cpu,ram,OS,special_features,graphics,graphics_coprocessor,cpu_speed,rating,price,harddisk_gb,cpu_weight,normalized_price,normalized_rating,normalized_ram,normalized_harddisk,vfm_score,normalized_vfm_score
dell,AWm17-7296WHT-PUS,17.3 Inches,lunar light,1 TB,Intel Core i7,16.0,Windows 10 Home,,Dedicated,NVIDIA RTX 2070,1.1 GHz,4.4,2395.0,1024.0,0.7,0.6992422290232904,0.8500000000000001,0.22388059701492538,0.46863468634686345,0.6752228765503565,0.552831251285246
acer,CB315-1HT,15.6 Inches,Platinum Grey,32 GB,Celeron,4.0,Chrome OS,,Integrated,Intel HD Grpahics 500,1.1 GHz,3.9,258.9,32.0,0.2,0.06011303170849472,0.725,0.04477611940298507,0.01107011070110701,0.48609313414406413,0.32593188327644024
dell,Dell Latitude 5520,15.6 Inches,Silver,1 TB,Intel Core i5,32.0,Windows 10 Pro,,Dedicated,Intel Iris Xe Graphics,1.1 GHz,4.0,1038.28,1024.0,0.5,0.29330647480722855,0.75,0.4626865671641791,0.46863468634686345,0.7041712214234196,0.5875606443094732
asus,ROG Strix Scar 15,15.6 Inches,Black,1 TB,Ryzen 9,32.0,Windows 10 Pro,,GeForce RTX 3080,NVIDIA GeForce RTX 3080,1.1 GHz,4.1,2099.99,1024.0,1.0,0.6109741214909473,0.7749999999999999,0.4626865671641791,0.46863468634686345,0.8231376920866759,0.7302849808643403
dell,Inspiron 5625 Laptop,16 Inches,"Grey, Gray, Platinum Silver",1000 GB,Ryzen 7,32.0,Windows 11 Home,,Integrated,AMD Integrated Graphics,1.1 GHz,5.0,765.11,1000.0,0.8,0.2115729778592942,1.0,0.4626865671641791,0.4575645756457564,0.8988574042078404,0.8211260860628709
lenovo,80mk0010us,13.3 Inches,Black,256 GB,unknown,8.0,Windows 10 Home 64,,Integrated,Intel HD Graphics 520,2.5 GHz,3.3,1399.99,256.0,0.0,0.40153147455477534,0.575,0.1044776119402985,0.1143911439114391,0.33024789906382046,0.13896401192531527
dell,Dell XPS,15.6 Inches,Black,1 TB,unknown,32.0,Windows 10 Pro,,Dedicated,NVIDIA GeForce GTX 1650 Ti,2 GHz,3.6,1805.99,1024.0,0.0,0.5230082097777552,0.65,0.4626865671641791,0.46863468634686345,0.4532308744293143,0.2865069580068867
dell,Inspiron 3515,15.6 Inches,Black,512 GB,AMD R Series,8.0,Windows 10 Home,,Integrated,AMD Radeon Graphics,2.1 GHz,5.0,1012.99,512.0,0.0,0.28573961117720603,1.0,0.1044776119402985,0.23247232472324722,0.4986184488611056,0.3409585308954218
dell,Latitude 7520 Laptop,15.6 Inches,Black,512 GB,Intel Core i5,16.0,Windows 11 Pro,Wifi & Bluetooth,Integrated,,1.1 GHz,5.0,1068.99,512.0,0.5,0.3024950229320998,1.0,0.22388059701492538,0.23247232472324722,0.6941479635250521,0.5755357197598314
dell,Dell XPS,13.3 Inches,Rose Gold,1000 GB,unknown,8.0,Windows 10 Home,,Integrated,Intel HD Graphics 620,1.1 GHz,4.0,839.99,1000.0,0.0,0.2339773570058378,0.75,0.1044776119402985,0.4575645756457564,0.4677347373337556,0.3039072742386641
lenovo,ThinkPad L14 Gen 3,14 Inches,Black,256 GB,Intel Core i7,16.0,Windows 11,Anti-glare Screen,UHD Graphics,Intel UHD Graphics,1.1 GHz,5.0,1220.99,256.0,0.7,0.34797399769538284,1.0,0.22388059701492538,0.1143911439114391,0.7373399914506243,0.6273532906751345
dell,Latitude 7430 Laptop,14 Inches,Aluminum,1000 GB,Intel Core i7,32.0,Windows 11 Pro,,Integrated,Intel Integrated Graphics,1.1 GHz,5.0,1773.99,1000.0,0.7,0.5134336887749588,1.0,0.4626865671641791,0.4575645756457564,0.8034852620247075,0.7067079172879585
dell,Latitude 5520 Laptop,15.6 Inches,Black,2000 GB,Intel Core i5,32.0,Windows 11 Pro,Wifi & Bluetooth,Integrated,,1.1 GHz,5.0,1031.99,2000.0,0.5,0.29142448302261637,1.0,0.4626865671641791,0.9188191881918819,0.8470752950570949,0.7590029758054317
lenovo,Thinkpad P52,15.6 Inches,Black,1 TB,Intel Core i7,64.0,Windows 10 Pro,"Anti-glare,Stereo Speakers",Dedicated,,1.1 GHz,5.0,3199.0,1024.0,0.7,0.9398020692185507,1.0,0.9402985074626865,0.46863468634686345,0.8153944906008567,0.720995445008457
dell,Inspiron 5625 Laptop,16 Inches,"Grey, Gray, Platinum Silver",512 GB,Ryzen 7,32.0,Windows 11 Pro,,Integrated,AMD Integrated Graphics,1.1 GHz,5.0,911.99,512.0,0.8,0.25552002926212974,1.0,0.4626865671641791,0.23247232472324722,0.8563041562888969,0.7700748609266963
dell,Latitude 3000,15.6 Inches,Black,256 GB,Intel Core i7,8.0,Windows 10 Pro,Anti-glare Screen,Iris Xe Graphics,,1.1 GHz,5.0,919.99,256.0,0.7,0.25791365951282885,1.0,0.1044776119402985,0.1143911439114391,0.7314714620722098,0.6203128030703722
dell,Latitude 7330 Laptop,13.3 Inches,Carbon Fiber,256 GB,Intel Core i5,16.0,Windows 11 Pro,,Integrated,Intel Integrated Graphics,1.1 GHz,5.0,692.99,256.0,0.5,0.1899944011492417,1.0,0.22388059701492538,0.1143911439114391,0.6989359107598525,0.5812798305898559
